iter	Logloss
0	0.6921878662
1	0.6908945312
2	0.689677002
3	0.6885352173
4	0.6874921265
5	0.6862365723
6	0.6850078125
7	0.6836278076
8	0.6825100098
9	0.6812596436
10	0.6799647217
11	0.67903125
12	0.6777147827
13	0.6762755127
14	0.6756843262
15	0.6742509766
16	0.672960083
17	0.6721154175
18	0.6711810303
19	0.6702600098
20	0.6695314941
21	0.668244751
22	0.6676317749
23	0.6663432007
24	0.6651186523
25	0.6638646851
26	0.6625391846
27	0.6611539307
28	0.6602334595
29	0.6592479248
30	0.658321106
31	0.6569406738
32	0.6553910522
33	0.6542215576
34	0.6533057251
35	0.6522703857
36	0.6511500244
37	0.6500703125
38	0.6491751099
39	0.6481221924
40	0.6470245361
41	0.6459693604
42	0.6450258789
43	0.6440893555
44	0.6433475952
45	0.6417663574
46	0.6407659912
47	0.6398242187
48	0.6385916138
49	0.6376628418
50	0.6367426147
51	0.6358463745
52	0.634918335
53	0.6334716797
54	0.6324521484
55	0.631779541
56	0.6310949707
57	0.6302006836
58	0.6291663818
59	0.6282607422
60	0.627513916
61	0.6261478271
62	0.6252514648
63	0.6242442627
64	0.6234450684
65	0.6221993408
66	0.6217080078
67	0.6208424683
68	0.6199083252
69	0.6187769775
70	0.6178700562
71	0.6165841064
72	0.6154735107
73	0.6145631714
74	0.613376709
75	0.6117692261
76	0.6108604126
77	0.6093677368
78	0.6081672363
79	0.6070535278
80	0.6061898193
81	0.605310791
82	0.6039519653
83	0.6027565308
84	0.6015805664
85	0.6007382812
86	0.5999124756
87	0.598612793
88	0.5972086792
89	0.5959326172
90	0.5948342285
91	0.5940896606
92	0.5932792969
93	0.5916608887
94	0.5904451904
95	0.5889015503
96	0.5877478027
97	0.5866809082
98	0.5851883545
99	0.5840776978
100	0.5826977539
101	0.5813708496
102	0.5801806641
103	0.5789307861
104	0.5776723633
105	0.5764052734
106	0.5749165039
107	0.5738464355
108	0.5727161865
109	0.571385376
110	0.5702382202
111	0.5688483887
112	0.5676296387
113	0.5661439819
114	0.5651135254
115	0.564038147
116	0.562498291
117	0.5612723389
118	0.5599453735
119	0.5587262573
120	0.5576345825
121	0.5565933228
122	0.5554399414
123	0.5542359619
124	0.5531525879
125	0.5522032471
126	0.5511331787
127	0.5499366455
128	0.5487537842
129	0.5472893066
130	0.5463916016
131	0.5450498047
132	0.5439846802
133	0.5424958496
134	0.5415111084
135	0.5403599854
136	0.5393520508
137	0.5382203369
138	0.5374278564
139	0.5365450439
140	0.5351506348
141	0.5337612915
142	0.5324731445
143	0.5310743408
144	0.5298416748
145	0.5283722534
146	0.5273574219
147	0.5260014648
148	0.5249615479
149	0.5237116699
150	0.5228737793
151	0.5217220459
152	0.5204191284
153	0.5193226318
154	0.5180430908
155	0.5168673096
156	0.5158511963
157	0.5146512451
158	0.5133084717
159	0.5121479492
160	0.5110400391
161	0.5102896729
162	0.5092730408
163	0.5079523621
164	0.5065925598
165	0.5056748352
166	0.5045263062
167	0.5034309387
168	0.5026226807
169	0.5015617676
170	0.5004762878
171	0.4991425476
172	0.4981006165
173	0.4968934937
174	0.4961072388
175	0.4953936768
176	0.4941550903
177	0.4929009399
178	0.4919053345
179	0.4906669922
180	0.4895802612
181	0.4886356812
182	0.4874631042
183	0.4866017456
184	0.4858464355
185	0.4848513184
186	0.4837220764
187	0.4827370911
188	0.4814522095
189	0.4806278381
190	0.4795943909
191	0.4782960815
192	0.4775547485
193	0.4768180542
194	0.4757716064
195	0.4746103516
196	0.4736717529
197	0.4729013062
198	0.4721647949
199	0.4712097473
