iter	Passed	Remaining
0	220	43817
1	242	24005
2	263	17322
3	284	13948
4	305	11925
5	326	10551
6	349	9645
7	373	8957
8	395	8392
9	417	7931
10	438	7532
11	459	7205
12	482	6934
13	503	6689
14	524	6467
15	546	6286
16	568	6115
17	589	5957
18	609	5810
19	631	5686
20	654	5580
21	677	5482
22	699	5382
23	720	5280
24	743	5204
25	765	5123
26	786	5041
27	808	4967
28	830	4896
29	851	4823
30	873	4763
31	896	4708
32	918	4649
33	940	4589
34	961	4533
35	984	4484
36	1007	4437
37	1030	4392
38	1052	4342
39	1072	4291
40	1095	4247
41	1116	4201
42	1139	4161
43	1162	4120
44	1186	4087
45	1210	4051
46	1231	4009
47	1252	3967
48	1274	3926
49	1293	3881
50	1314	3840
51	1335	3800
52	1356	3761
53	1377	3723
54	1398	3686
55	1417	3646
56	1439	3610
57	1459	3573
58	1480	3537
59	1500	3501
60	1523	3471
61	1546	3441
62	1570	3414
63	1591	3381
64	1612	3348
65	1633	3316
66	1654	3283
67	1675	3252
68	1696	3220
69	1718	3190
70	1739	3161
71	1760	3130
72	1816	3159
73	1862	3171
74	1900	3166
75	1921	3135
76	1942	3103
77	1964	3072
78	1985	3041
79	2005	3008
80	2026	2977
81	2048	2948
82	2069	2917
83	2090	2887
84	2111	2856
85	2133	2827
86	2154	2798
87	2175	2768
88	2201	2745
89	2225	2720
90	2247	2691
91	2268	2663
92	2289	2634
93	2311	2606
94	2332	2577
95	2353	2549
96	2373	2520
97	2395	2492
98	2416	2465
99	2437	2437
100	2458	2409
101	2478	2381
102	2500	2354
103	2586	2387
104	2611	2362
105	2638	2339
106	2659	2311
107	2679	2282
108	2700	2254
109	2722	2227
110	2742	2199
111	2763	2171
112	2784	2143
113	2805	2116
114	2826	2089
115	2847	2061
116	2867	2034
117	2888	2007
118	2909	1980
119	2930	1953
120	2952	1927
121	2972	1900
122	2993	1873
123	3013	1847
124	3034	1820
125	3056	1794
126	3076	1768
127	3096	1741
128	3117	1715
129	3137	1689
130	3158	1663
131	3182	1639
132	3205	1614
133	3227	1589
134	3249	1564
135	3270	1539
136	3291	1513
137	3312	1488
138	3332	1462
139	3354	1437
140	3375	1412
141	3397	1387
142	3419	1363
143	3442	1338
144	3463	1313
145	3484	1288
146	3506	1264
147	3527	1239
148	3548	1214
149	3569	1189
150	3590	1165
151	3612	1140
152	3633	1116
153	3654	1091
154	3675	1067
155	3696	1042
156	3716	1017
157	3736	993
158	3758	969
159	3779	944
160	3800	920
161	3820	896
162	3841	871
163	3863	848
164	3884	824
165	3905	799
166	3926	775
167	3947	751
168	3968	727
169	3989	704
170	4012	680
171	4034	656
172	4055	632
173	4076	609
174	4097	585
175	4117	561
176	4138	537
177	4162	514
178	4186	491
179	4209	467
180	4230	444
181	4251	420
182	4272	396
183	4292	373
184	4313	349
185	4333	326
186	4354	302
187	4375	279
188	4399	256
189	4420	232
190	4441	209
191	4463	185
192	4483	162
193	4503	139
194	4524	116
195	4545	92
196	4566	69
197	4586	46
198	4607	23
199	4628	0
