trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3422466.5852702498,3267676.111441338,3592244.6545051904,3422466.5852702498,3422466.5852702498,6984.929526455023,6984.929526455023,6984.929526455023,6984.929526455023,6984.929526455023,6984.929526455023,0.0,0.0,0.0,3429451.514796705
3422556.9121000306,3269646.5832496206,3592750.079040759,3422556.9121000306,3422556.9121000306,14715.693924144984,14715.693924144984,14715.693924144984,14715.693924144984,14715.693924144984,14715.693924144984,0.0,0.0,0.0,3437272.6060241754
3422647.238929812,3246923.2116522607,3579453.8892305456,3422647.238929812,3422647.238929812,-6616.411340534793,-6616.411340534793,-6616.411340534793,-6616.411340534793,-6616.411340534793,-6616.411340534793,0.0,0.0,0.0,3416030.827589277
3422737.5657595927,3249175.0307376306,3574147.9834797936,3422737.5657595927,3422737.5657595927,-9131.099580653314,-9131.099580653314,-9131.099580653314,-9131.099580653314,-9131.099580653314,-9131.099580653314,0.0,0.0,0.0,3413606.466178939
3422827.892589374,3253838.5154512324,3587197.0441595237,3422827.892589374,3422827.892589374,-8972.469751919161,-8972.469751919161,-8972.469751919161,-8972.469751919161,-8972.469751919161,-8972.469751919161,0.0,0.0,0.0,3413855.422837455
3422918.219419155,3273133.51448468,3595010.7820685813,3422918.219419155,3422918.219419155,8907.193485212943,8907.193485212943,8907.193485212943,8907.193485212943,8907.193485212943,8907.193485212943,0.0,0.0,0.0,3431825.412904368
3423008.5462489356,3256274.3120364877,3601106.1856755656,3423008.5462489356,3423008.5462489356,-5887.8362627332635,-5887.8362627332635,-5887.8362627332635,-5887.8362627332635,-5887.8362627332635,-5887.8362627332635,0.0,0.0,0.0,3417120.7099862024
3423098.8730787165,3270972.943961563,3597603.4252846,3423098.8730787165,3423098.8730787165,6984.929526498958,6984.929526498958,6984.929526498958,6984.929526498958,6984.929526498958,6984.929526498958,0.0,0.0,0.0,3430083.8026052155
3423189.1999084977,3284253.442858592,3609936.983206429,3423189.1999084977,3423189.1999084977,14715.693924151561,14715.693924151561,14715.693924151561,14715.693924151561,14715.693924151561,14715.693924151561,0.0,0.0,0.0,3437904.893832649
3423279.5267382786,3250565.7162325247,3578760.984613355,3423279.5267382786,3423279.5267382786,-6616.411340437126,-6616.411340437126,-6616.411340437126,-6616.411340437126,-6616.411340437126,-6616.411340437126,0.0,0.0,0.0,3416663.1153978417
3423369.85356806,3254127.1037186775,3583085.2808917323,3423369.85356806,3423369.85356806,-9131.099580666403,-9131.099580666403,-9131.099580666403,-9131.099580666403,-9131.099580666403,-9131.099580666403,0.0,0.0,0.0,3414238.7539873933
3423460.1803978407,3253883.244788345,3580846.4685193356,3423460.1803978407,3423460.1803978407,-8972.469751908066,-8972.469751908066,-8972.469751908066,-8972.469751908066,-8972.469751908066,-8972.469751908066,0.0,0.0,0.0,3414487.7106459327
3423550.507227622,3269360.0240231715,3596194.758325503,3423550.507227622,3423550.507227622,8907.193485225622,8907.193485225622,8907.193485225622,8907.193485225622,8907.193485225622,8907.193485225622,0.0,0.0,0.0,3432457.7007128475
3423640.834057403,3267436.1763674137,3576849.7584875957,3423640.834057403,3423640.834057403,-5887.8362627614515,-5887.8362627614515,-5887.8362627614515,-5887.8362627614515,-5887.8362627614515,-5887.8362627614515,0.0,0.0,0.0,3417752.997794641
3423731.160887184,3255304.5707603353,3610276.7177866837,3423731.160887184,3423731.160887184,6984.929526442442,6984.929526442442,6984.929526442442,6984.929526442442,6984.929526442442,6984.929526442442,0.0,0.0,0.0,3430716.0904136267
3423821.487716965,3271661.9523513103,3589464.664018189,3423821.487716965,3423821.487716965,14715.693924158137,14715.693924158137,14715.693924158137,14715.693924158137,14715.693924158137,14715.693924158137,0.0,0.0,0.0,3438537.1816411233
3423911.8145467457,3263594.309164788,3589561.5816574045,3423911.8145467457,3423911.8145467457,-6616.411340529554,-6616.411340529554,-6616.411340529554,-6616.411340529554,-6616.411340529554,-6616.411340529554,0.0,0.0,0.0,3417295.403206216
3424002.1413765266,3248494.813658543,3577029.2983176177,3424002.1413765266,3424002.1413765266,-9131.099580641943,-9131.099580641943,-9131.099580641943,-9131.099580641943,-9131.099580641943,-9131.099580641943,0.0,0.0,0.0,3414871.0417958847
